link,img,type,grade,rate&comment,simpleLocation,status
https://www.goodchoice.kr/product/detail?ano=57435&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/03/31/6063ceed4d9b5.jpg,호텔,호텔,9.5 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=57434&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/03/02/621f38650dc2a.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=51763&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/03/02/621f389f364e0.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=51753&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2018/05/02/5ae90de01c0e4.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=51764&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/10/06/615d3bbf4e365.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=57433&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/01/17/5c402a4a00fbc.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=74588&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/05/15/6461f00c310fe.jpg,호텔,호텔,9.1 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=70213&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/08/31/64f01c07c7400.jpg,호텔,호텔,9.3 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=67769&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/05/17/60a24896cdb03.jpg,호텔,호텔,9.0 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=49688&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/02/22/5c6fbd4c90939.jpg,호텔,호텔,9.1 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=70936&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/09/13/650168a537abd.jpg,호텔,호텔,9.1 추천해요,1,400,000원,1,400,000원
https://www.goodchoice.kr/product/detail?ano=48951&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/07/12/5d28096981820.jpg,호텔,호텔,9.0 추천해요,남은 객실 1개 253,000원,남은 객실 1개 253,000원
https://www.goodchoice.kr/product/detail?ano=54760&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/09/22/632ba76ebd516.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=7444&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2017/11/23/5a1607b26e12a.jpg,호텔,호텔,9.2 추천해요,166,000원,166,000원
https://www.goodchoice.kr/product/detail?ano=69528&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/08/31/64f01c59d72f6.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=72944&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/06/16/648bcf5136baa.jpg,호텔,호텔,9.1 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=69744&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/09/26/651278cf30cb5.jpg,호텔,호텔,8.9 만족해요,330,000160,000원,330,000160,000원
https://www.goodchoice.kr/product/detail?ano=71893&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/06/16/648c0a87d3246.jpg,호텔,호텔,9.5 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=63519&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/12/04/5de70e3f7e72c.jpg,호텔,호텔,9.3 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=53240&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/09/10/5f59e2c6456b0.jpg,호텔,호텔,9.4 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=69729&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/04/04/642b9821abd76.jpg,호텔,호텔,8.9 만족해요,350,000188,000원,350,000188,000원
https://www.goodchoice.kr/product/detail?ano=50405&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/08/26/6126eb9c1f88c.jpg,호텔,호텔,9.2 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=65748&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/12/16/5fd9c03138e91.jpg,호텔,호텔,8.7 만족해요,179,000원,179,000원
https://www.goodchoice.kr/product/detail?ano=7479&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/09/02/6311ae55eb551.jpg,호텔,호텔,9.3 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=67416&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/03/10/640ae0e674d3d.jpg,호텔,호텔,9.4 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=73268&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/03/03/64019e456e27e.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=68019&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/05/28/60b0c3d792203.jpg,호텔,호텔,9.4 추천해요,남은 객실 2개 105,000원,남은 객실 2개 105,000원
https://www.goodchoice.kr/product/detail?ano=65013&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/06/08/648193bf384e9.jpg,호텔,호텔,8.9 만족해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=61569&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/03/02/621ede4db1bba.jpg,호텔,호텔,8.8 만족해요,269,000원,269,000원
https://www.goodchoice.kr/product/detail?ano=47532&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2018/09/10/5b963af55a535.jpg,호텔,호텔,9.3 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=65139&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/06/12/5ee33606850cb.jpg,호텔,호텔,9.4 추천해요,440,000240,000원,440,000240,000원
https://www.goodchoice.kr/product/detail?ano=64479&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/02/27/63fc24a434bad.jpg,호텔,호텔,8.7 만족해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=74815&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/06/19/64900d8978eb9.jpg,호텔,호텔,9.8 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=69354&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/02/18/620f0b76de309.jpg,호텔,호텔,9.5 추천해요,515,000원,515,000원
https://www.goodchoice.kr/product/detail?ano=75907&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/09/12/64fff897a110b.jpg,호텔,호텔,9.8 최고에요,120,00090,000원,120,00090,000원
https://www.goodchoice.kr/product/detail?ano=67343&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/05/03/6451f2377a5b4.jpg,호텔,호텔,9.1 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=6781&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/07/12/62ccb302c2808.jpg,호텔,호텔,8.4 만족해요,100,000원,100,000원
https://www.goodchoice.kr/product/detail?ano=10837&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/02/25/6036fab75152a.png,호텔,호텔,7.9 만족해요,350,000157,550원,350,000157,550원
https://www.goodchoice.kr/product/detail?ano=66177&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/11/27/5fc09e8406482.jpg,호텔,호텔,9.4 추천해요,79,900원,79,900원
https://www.goodchoice.kr/product/detail?ano=67313&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/09/02/6130744a5d512.jpg,호텔,호텔,9.2 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=67303&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/11/11/618c8c6ec3e61.jpg,호텔,호텔,9.0 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=54598&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2018/10/02/5bb315ac5ad58.jpg,호텔,호텔,9.5 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=46496&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2017/06/09/593a595ed8f72.jpg,호텔,호텔,9.1 추천해요,남은 객실 2개 318,696원,남은 객실 2개 318,696원
https://www.goodchoice.kr/product/detail?ano=70398&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/03/23/623ab8dd178a6.jpg,호텔,호텔,9.2 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=6576&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/10/13/61662a0f7f907.jpg,호텔,호텔,9.3 추천해요,판매 완료,판매 완료
